Algorithm,InputType,DataSize,AverageTime(ms),AverageMemory(MB),,Algorithm,InputType,DataSize,AverageTime(ms),AverageMemory(MB),,Algorithm,InputType,DataSize,AverageTime(ms),AverageMemory(MB)
insertion_sort,random,1m,1808207.55,19.28,,introsort,random,1m,136.12,10.86,,library_sort,random,1m,4460.37,19.68
insertion_sort,part-random,1m,2049446.413,19.68,,introsort,part-random,1m,155.61,10.87,,library_sort,part-random,1m,5014.13,19.66
,,,,,,,,,,,,,,,,
heap_sort,ascending,1k,0.09,7.13,,quick_sort,ascending,1k,0.98,7.06,,merge_sort,ascending,1k,0.7,7.87
heap_sort,descending,1k,0.11,7.14,,quick_sort,descending,1k,1.02,7.34,,merge_sort,descending,1k,0.63,7.49
heap_sort,random,1k,0.1,7.17,,quick_sort,random,1k,0.21,7.43,,merge_sort,random,1k,0.69,7.47
heap_sort,part-random,1k,0.13,7.43,,quick_sort,part-random,1k,0.18,7.41,,merge_sort,part-random,1k,0.59,7.78
heap_sort,ascending,10k,1.31,6.78,,quick_sort,ascending,10k,73.16,7.99,,merge_sort,ascending,10k,5.66,9.81
heap_sort,descending,10k,1.36,7.33,,quick_sort,descending,10k,61.85,7.39,,merge_sort,descending,10k,5.33,9.71
heap_sort,random,10k,1.44,7.24,,quick_sort,random,10k,1.91,7.57,,merge_sort,random,10k,6.92,9.93
heap_sort,part-random,10k,1.19,7.51,,quick_sort,part-random,10k,1.78,7.38,,merge_sort,part-random,10k,5.33,10.17
heap_sort,ascending,100k,15.38,8,,quick_sort,ascending,100k,5908.9,9.83,,merge_sort,ascending,100k,55.62,35.09
heap_sort,descending,100k,12.4,8.06,,quick_sort,descending,100k,5219.24,10.39,,merge_sort,descending,100k,53.06,34.7
heap_sort,random,100k,14.34,7.28,,quick_sort,random,100k,17.32,9.24,,merge_sort,random,100k,51.56,35.45
heap_sort,part-random,100k,14.02,7.92,,quick_sort,part-random,100k,17.06,9.25,,merge_sort,part-random,100k,61.17,36.16
heap_sort,ascending,1m,152.71,10.76,,quick_sort,ascending,1m,580503.53,40.13,,merge_sort,ascending,1m,507.6,312.93
heap_sort,descending,1m,161.63,10.8,,quick_sort,descending,1m,514158.27,39.27,,merge_sort,descending,1m,490.34,312.85
heap_sort,random,1m,193.46,10.78,,quick_sort,random,1m,179.48,25.68,,merge_sort,random,1m,510.6,312.85
heap_sort,part-random,1m,194.27,10.81,,quick_sort,part-random,1m,185.13,25.69,,merge_sort,part-random,1m,484.71,312.84
