Algorithm,TSPFile,StartIndex,Count,AverageTime(ms),AverageMemory(MB),AverageResult
MST2,a280.tsp,0,280,0.00,3.73,3572.0000000000
MST2,xql662.tsp,0,662,2.20,3.85,3547.0000000000
MST2,kz9976.tsp,0,9976,410.00,7.42,1457293.0000000000
MST2,mona-lisa100K.tsp,0,100000,41609.20,40.31,8322297.0000000000
