Algorithm,TSPFile,StartIndex,Count,AverageTime(ms),AverageMemory(MB),AverageResult
basic_HK,kz9976.tsp,0,23,7664.00,1411.60,1926.0000000000
basic_HK,mona-lisa100K.tsp,0,23,6474.80,1411.45,77453.0000000000
basic_HK,a280.tsp,0,24,18604.40,2947.45,358.0000000000
basic_HK,xql662.tsp,0,24,16620.60,2947.60,132.0000000000
basic_HK,kz9976.tsp,0,24,17792.20,2947.57,1961.0000000000
basic_HK,mona-lisa100K.tsp,0,24,16101.80,2947.45,84220.0000000000
basic_HK,a280.tsp,0,25,43865.20,6147.50,358.0000000000
basic_HK,xql662.tsp,0,25,39938.80,6147.57,132.0000000000
basic_HK,kz9976.tsp,0,25,41252.20,6147.60,1974.0000000000
basic_HK,mona-lisa100K.tsp,0,25,36526.40,6147.48,84453.0000000000
basic_HK,a280.tsp,0,26,-1.00,-1.00,-1.0000000000
basic_HK,xql662.tsp,0,26,-1.00,-1.00,-1.0000000000
basic_HK,kz9976.tsp,0,26,-1.00,-1.00,-1.0000000000
basic_HK,mona-lisa100K.tsp,0,26,-1.00,-1.00,-1.0000000000
