Algorithm,InputType,DataSize,AverageTime(ms),AverageMemory(MB),,,,,,,,,,,,
,,,,,,,,,,,,,,,,
heap_sort,ascending,1k,0.07,6.95,,quick_sort,ascending,1k,0.78,7.83,,merge_sort,ascending,1k,0.28,8.02
heap_sort,descending,1k,0.09,6.92,,quick_sort,descending,1k,0.73,7.71,,merge_sort,descending,1k,0.4,7.37
heap_sort,random,1k,0.11,7,,quick_sort,random,1k,0.17,7.71,,merge_sort,random,1k,0.64,8.02
heap_sort,part-random,1k,0.09,6.97,,quick_sort,part-random,1k,0.21,7.21,,merge_sort,part-random,1k,0.53,7.44
heap_sort,ascending,10k,1.28,7.02,,quick_sort,ascending,10k,66.1,7.89,,merge_sort,ascending,10k,7.01,9.55
heap_sort,descending,10k,1.31,7.2,,quick_sort,descending,10k,69.36,7.5,,merge_sort,descending,10k,7.89,9.57
heap_sort,random,10k,1.18,7.03,,quick_sort,random,10k,1.69,7.7,,merge_sort,random,10k,7.04,10.46
heap_sort,part-random,10k,1.35,7.01,,quick_sort,part-random,10k,1.66,8.19,,merge_sort,part-random,10k,5.59,10.44
heap_sort,ascending,100k,15.5,7.36,,quick_sort,ascending,100k,5876.36,10.65,,merge_sort,ascending,100k,68.71,35.41
heap_sort,descending,100k,22.72,7.33,,quick_sort,descending,100k,5169.79,10.99,,merge_sort,descending,100k,58.85,35.32
heap_sort,random,100k,20.51,7.33,,quick_sort,random,100k,18.3,10.3,,merge_sort,random,100k,62.57,35.71
heap_sort,part-random,100k,15.99,7.34,,quick_sort,part-random,100k,16.39,10.14,,merge_sort,part-random,100k,70.6,35.4
heap_sort,ascending,1m,167,10.96,,quick_sort,ascending,1m,580503.53,40.13,,merge_sort,ascending,1m,562.83,317.46
heap_sort,descending,1m,154.75,10.76,,quick_sort,descending,1m,514158.27,39.27,,merge_sort,descending,1m,495.72,317.52
heap_sort,random,1m,195.21,10.81,,quick_sort,random,1m,179.48,25.68,,merge_sort,random,1m,533.24,317.43
heap_sort,part-random,1m,214.54,10.76,,quick_sort,part-random,1m,185.13,25.69,,merge_sort,part-random,1m,523.59,317.41
